id,user_id,restaurant_id,order_date,order_time,status,subtotal,delivery_fee,discount_amount,order_total,items_count,city
133,232,21,2023-03-10,14:02:00,cancelled,0.00,0.00,0.00,0.00,0,Austin
134,59,2,2025-05-19,15:41:00,completed,77.20,7.15,8.89,75.46,5,New York
135,90,36,2023-06-13,15:35:00,completed,52.19,6.49,7.56,51.12,2,Denver
136,328,43,2024-03-18,16:01:00,completed,83.35,4.75,5.15,82.95,1,Atlanta
137,110,14,2023-10-13,22:45:00,cancelled,0.00,0.00,0.00,0.00,0,Boston
138,33,37,2023-04-15,22:55:00,completed,45.07,3.49,1.37,47.19,6,Denver
139,251,34,2024-10-16,15:38:00,completed,47.05,3.07,4.22,45.90,4,San Francisco
140,317,12,2025-04-13,20:45:00,cancelled,0.00,0.00,0.00,0.00,0,Boston
141,315,38,2023-03-28,20:08:00,completed,35.65,3.08,4.48,34.25,2,Denver
142,262,25,2024-03-04,19:08:00,completed,49.30,4.93,6.45,47.78,6,Austin
143,89,36,2023-06-20,17:18:00,completed,41.28,4.76,0.64,45.40,3,Denver
144,5,32,2023-05-20,13:52:00,completed,59.56,5.77,4.91,60.42,4,San Francisco
145,213,46,2025-05-10,17:31:00,completed,59.84,6.48,2.65,63.67,1,Los Angeles
146,141,15,2024-07-04,14:10:00,completed,59.86,6.36,5.94,60.28,5,Boston
147,58,37,2023-04-27,14:49:00,completed,91.33,5.21,9.08,87.46,6,Denver
148,226,35,2023-08-12,16:06:00,completed,66.37,3.74,10.50,59.61,1,San Francisco
149,231,17,2023-12-23,23:52:00,completed,82.03,3.09,9.74,75.38,2,Seattle
150,302,45,2023-12-26,23:45:00,completed,49.68,5.58,9.42,45.84,2,Atlanta
151,31,37,2023-12-26,18:17:00,completed,30.46,7.40,3.51,34.35,5,Denver
152,137,33,2025-07-10,20:52:00,completed,89.25,6.43,11.03,84.65,3,San Francisco
153,336,9,2024-12-19,23:08:00,completed,70.64,6.64,9.14,68.14,6,Chicago
154,202,32,2023-05-26,19:40:00,completed,48.65,4.76,7.60,45.81,1,San Francisco
155,207,33,2025-02-06,14:44:00,refunded,0.00,0.00,0.00,0.00,0,San Francisco
156,189,30,2025-08-31,17:20:00,completed,82.30,6.74,1.12,87.92,4,Miami
157,326,43,2024-12-15,15:54:00,completed,57.55,3.59,5.16,55.98,2,Atlanta
158,254,18,2023-11-27,23:18:00,completed,60.77,5.33,5.82,60.28,3,Seattle
159,350,49,2023-02-19,10:06:00,completed,79.92,2.58,11.15,71.35,2,Los Angeles
160,226,30,2023-01-01,16:12:00,refunded,0.00,0.00,0.00,0.00,0,Miami
161,68,42,2023-11-06,12:55:00,refunded,0.00,0.00,0.00,0.00,0,Atlanta
162,141,6,2024-11-01,15:16:00,completed,67.17,5.74,0.62,72.29,6,Chicago
163,157,47,2024-12-17,22:14:00,completed,24.75,2.98,2.56,25.17,1,Los Angeles
164,68,38,2023-08-20,18:43:00,completed,18.60,4.22,1.45,21.37,4,Denver
165,68,31,2023-03-14,13:24:00,completed,77.64,3.02,4.41,76.25,3,San Francisco
166,71,25,2025-03-03,23:48:00,cancelled,0.00,0.00,0.00,0.00,0,Austin
167,329,44,2023-05-27,11:33:00,completed,63.16,3.32,4.21,62.27,2,Atlanta
168,322,48,2023-06-05,16:39:00,completed,81.64,2.93,1.21,83.36,1,Los Angeles
169,302,47,2024-01-29,15:27:00,completed,28.35,3.88,1.01,31.22,5,Los Angeles
170,308,39,2025-01-08,19:18:00,completed,69.10,6.74,7.90,67.94,3,Denver
171,106,34,2024-09-13,18:12:00,completed,39.87,2.77,10.77,31.87,2,San Francisco
172,254,25,2023-04-26,13:31:00,completed,23.25,6.94,0.14,30.05,3,Austin
173,163,9,2024-02-01,23:53:00,completed,45.04,5.91,9.15,41.80,1,Chicago
174,9,38,2023-03-11,10:16:00,completed,86.27,7.24,4.78,88.73,3,Denver
175,322,46,2024-05-28,22:26:00,completed,47.77,5.70,6.45,47.02,2,Los Angeles
176,143,6,2023-11-14,11:32:00,refunded,0.00,0.00,0.00,0.00,0,Chicago
177,80,35,2023-12-01,16:37:00,completed,79.75,5.91,0.79,84.87,6,San Francisco
178,224,47,2025-05-16,13:03:00,completed,86.42,3.08,7.35,82.15,1,Los Angeles
179,159,43,2025-01-29,20:47:00,completed,18.94,3.19,0.14,21.99,4,Atlanta
180,178,34,2024-06-13,22:52:00,completed,30.36,3.13,9.37,24.12,3,San Francisco
181,61,50,2025-07-10,10:21:00,cancelled,0.00,0.00,0.00,0.00,0,Los Angeles
182,140,34,2023-03-07,14:45:00,refunded,0.00,0.00,0.00,0.00,0,San Francisco
183,322,5,2024-05-23,17:32:00,completed,54.97,5.33,4.41,55.89,3,New York
184,53,37,2024-11-21,21:07:00,completed,55.65,2.72,10.36,48.01,2,Denver
185,24,31,2024-01-08,16:58:00,completed,86.91,6.79,6.63,87.07,6,San Francisco
186,336,27,2023-08-18,15:15:00,completed,71.30,3.86,0.93,74.23,3,Miami
187,62,33,2024-11-20,10:11:00,completed,56.17,2.73,4.81,54.09,4,San Francisco
188,145,50,2025-05-15,14:20:00,completed,51.80,4.34,3.50,52.64,3,Los Angeles
189,319,16,2024-04-20,15:37:00,refunded,0.00,0.00,0.00,0.00,0,Seattle
190,101,47,2025-07-11,18:48:00,completed,29.14,7.16,0.29,36.01,5,Los Angeles
191,178,41,2025-05-09,21:56:00,completed,42.79,6.29,4.52,44.56,6,Atlanta
192,158,7,2023-07-30,18:15:00,completed,89.13,7.36,1.71,94.78,3,Chicago
193,48,3,2025-08-01,13:57:00,cancelled,0.00,0.00,0.00,0.00,0,New York
194,212,45,2025-07-06,15:29:00,refunded,0.00,0.00,0.00,0.00,0,Atlanta
195,44,38,2023-04-08,18:08:00,completed,47.18,5.46,0.75,51.89,6,Denver
196,67,16,2023-10-26,14:54:00,completed,77.26,6.00,8.82,74.44,3,Seattle
197,232,18,2023-08-28,11:12:00,completed,74.99,3.04,1.27,76.76,4,Seattle
198,239,21,2024-02-21,11:34:00,completed,75.00,4.76,5.56,74.20,1,Austin
199,47,11,2025-04-06,20:19:00,cancelled,0.00,0.00,0.00,0.00,0,Boston
200,309,3,2023-08-09,23:54:00,completed,24.75,3.74,4.27,24.22,5,New York
201,26,44,2023-11-03,14:52:00,refunded,0.00,0.00,0.00,0.00,0,Atlanta
202,16,26,2025-05-25,17:35:00,completed,36.49,4.81,9.65,31.65,2,Miami
203,63,1,2023-03-05,23:49:00,refunded,0.00,0.00,0.00,0.00,0,New York
204,67,13,2025-04-23,16:23:00,completed,87.38,2.92,7.03,83.27,1,Boston
205,12,5,2023-07-22,20:28:00,cancelled,0.00,0.00,0.00,0.00,0,New York
206,48,22,2023-05-06,10:29:00,completed,86.39,4.67,8.69,82.37,4,Austin
207,16,25,2024-11-30,16:11:00,completed,85.21,3.87,5.35,83.73,2,Austin
208,18,40,2024-09-26,19:15:00,completed,54.92,6.91,5.75,56.08,1,Denver
209,144,25,2023-05-21,16:12:00,completed,76.99,3.75,11.93,68.81,5,Austin
210,10,25,2025-03-11,21:22:00,completed,75.83,4.22,6.79,73.26,3,Austin
211,199,18,2023-07-04,10:20:00,completed,20.17,6.55,3.37,23.35,4,Seattle
212,272,23,2025-02-24,19:14:00,refunded,0.00,0.00,0.00,0.00,0,Austin
213,52,16,2024-11-03,13:17:00,completed,76.55,6.19,9.17,73.57,2,Seattle
214,295,25,2023-12-30,23:54:00,completed,35.50,4.09,8.86,30.73,3,Austin
215,303,2,2024-12-21,21:22:00,refunded,0.00,0.00,0.00,0.00,0,New York
216,289,10,2024-07-30,13:53:00,refunded,0.00,0.00,0.00,0.00,0,Chicago
217,253,35,2023-11-13,12:31:00,completed,22.16,5.51,0.24,27.43,4,San Francisco
218,1,22,2025-07-28,19:12:00,cancelled,0.00,0.00,0.00,0.00,0,Austin
219,175,46,2023-07-01,22:54:00,cancelled,0.00,0.00,0.00,0.00,0,Los Angeles
220,31,2,2023-06-01,19:45:00,cancelled,0.00,0.00,0.00,0.00,0,New York
221,57,34,2025-05-31,15:04:00,completed,87.70,4.48,1.21,90.97,3,San Francisco
222,166,9,2023-06-11,21:27:00,completed,89.09,5.75,2.09,92.75,5,Chicago
223,315,23,2023-08-17,20:37:00,cancelled,0.00,0.00,0.00,0.00,0,Austin
224,194,20,2025-01-21,21:18:00,completed,71.93,7.24,11.38,67.79,4,Seattle
225,291,3,2023-07-06,19:20:00,refunded,0.00,0.00,0.00,0.00,0,New York
226,314,15,2024-10-16,19:06:00,refunded,0.00,0.00,0.00,0.00,0,Boston
227,73,22,2025-02-02,11:15:00,completed,41.64,5.68,11.56,35.76,6,Austin
228,344,41,2025-01-16,15:28:00,completed,33.52,5.97,4.21,35.28,1,Atlanta
229,1,4,2024-01-31,17:46:00,completed,30.31,4.57,10.58,24.30,3,New York
230,280,25,2023-04-14,23:30:00,completed,60.78,6.29,2.71,64.36,4,Austin
231,38,3,2023-10-29,10:20:00,completed,25.75,4.21,10.66,19.30,2,New York
232,39,36,2025-08-22,11:21:00,completed,63.41,4.91,0.37,67.95,6,Denver
233,85,39,2025-06-30,16:10:00,completed,42.50,7.37,4.91,44.96,5,Denver
234,277,17,2024-11-07,14:19:00,completed,21.67,5.36,10.08,16.95,2,Seattle
235,28,24,2023-01-04,16:05:00,completed,66.99,5.50,2.40,70.09,1,Austin
236,106,11,2024-10-15,14:05:00,completed,26.55,6.42,5.65,27.32,6,Boston
237,136,6,2024-10-19,18:24:00,completed,83.53,4.35,5.35,82.53,3,Chicago
238,226,30,2023-09-27,13:53:00,completed,22.56,6.26,8.01,20.81,1,Miami
239,343,23,2025-04-07,18:26:00,refunded,0.00,0.00,0.00,0.00,0,Austin
240,302,15,2024-07-20,10:53:00,completed,56.67,7.33,8.24,55.76,4,Boston
241,294,16,2024-05-02,14:05:00,completed,81.19,2.67,6.85,77.01,5,Seattle
242,293,44,2024-09-27,12:07:00,refunded,0.00,0.00,0.00,0.00,0,Atlanta
243,230,12,2025-08-29,12:13:00,cancelled,0.00,0.00,0.00,0.00,0,Boston
244,65,3,2024-03-09,11:43:00,completed,91.80,5.64,10.01,87.43,3,New York
245,164,47,2025-07-25,22:04:00,completed,59.17,5.26,10.28,54.15,5,Los Angeles
246,235,1,2025-03-16,21:39:00,completed,75.84,3.06,1.80,77.10,5,New York
247,302,38,2025-02-15,11:59:00,completed,75.69,6.43,10.41,71.71,3,Denver
248,211,17,2024-01-28,20:31:00,completed,53.01,3.36,4.84,51.53,5,Seattle
249,312,44,2024-12-11,16:02:00,completed,83.04,5.95,0.59,88.40,4,Atlanta
250,138,24,2023-01-21,15:52:00,completed,41.01,6.71,10.30,37.42,6,Austin
251,51,15,2023-05-18,14:47:00,completed,79.11,3.85,5.00,77.96,6,Boston
252,46,13,2024-03-28,13:58:00,cancelled,0.00,0.00,0.00,0.00,0,Boston
253,249,49,2024-06-12,23:23:00,cancelled,0.00,0.00,0.00,0.00,0,Los Angeles
254,264,11,2023-03-09,14:45:00,completed,28.04,6.76,10.55,24.25,1,Boston
255,89,13,2025-06-15,23:12:00,cancelled,0.00,0.00,0.00,0.00,0,Boston
256,128,3,2024-04-12,10:58:00,completed,32.73,4.34,5.57,31.50,4,New York
257,326,8,2024-11-28,10:15:00,completed,61.96,3.39,10.45,54.90,5,Chicago
258,283,23,2023-12-19,12:53:00,cancelled,0.00,0.00,0.00,0.00,0,Austin
259,47,19,2023-01-29,16:03:00,completed,60.35,7.32,10.29,57.38,6,Seattle
260,116,44,2023-07-31,14:41:00,completed,19.48,6.40,9.21,16.67,1,Atlanta
261,243,9,2024-10-24,12:38:00,cancelled,0.00,0.00,0.00,0.00,0,Chicago
262,115,17,2024-09-14,22:19:00,completed,70.49,3.88,10.75,63.62,3,Seattle
263,236,17,2023-08-12,17:19:00,completed,79.00,4.49,1.23,82.26,5,Seattle
264,340,24,2024-07-28,20:38:00,completed,40.09,3.04,0.77,42.36,3,Austin
265,328,21,2025-06-01,14:16:00,completed,88.46,5.76,2.26,91.96,5,Austin
266,124,4,2025-04-04,23:51:00,cancelled,0.00,0.00,0.00,0.00,0,New York
267,207,43,2023-11-24,20:08:00,completed,66.50,7.49,3.11,70.88,4,Atlanta
268,208,25,2025-01-24,10:37:00,completed,60.33,3.45,8.72,55.06,2,Austin
269,274,41,2025-03-14,17:58:00,refunded,0.00,0.00,0.00,0.00,0,Atlanta
270,184,33,2023-11-04,23:10:00,cancelled,0.00,0.00,0.00,0.00,0,San Francisco
271,286,12,2023-10-28,11:30:00,completed,37.14,6.54,9.16,34.52,2,Boston
272,349,22,2024-11-01,11:14:00,completed,73.07,4.04,9.46,67.65,3,Austin
273,191,17,2024-08-22,14:29:00,cancelled,0.00,0.00,0.00,0.00,0,Seattle
274,241,4,2025-06-06,20:37:00,completed,63.93,4.86,2.33,66.46,1,New York
275,349,25,2024-06-26,14:26:00,completed,81.21,3.19,2.40,82.00,4,Austin
276,292,30,2023-05-27,15:55:00,completed,75.64,4.94,7.57,73.01,2,Miami
277,161,41,2023-03-01,10:28:00,completed,74.33,3.34,9.17,68.50,4,Atlanta
278,46,9,2024-09-21,16:40:00,completed,49.75,4.89,0.06,54.58,5,Chicago
279,103,47,2024-01-18,10:57:00,completed,79.66,3.45,8.12,74.99,6,Los Angeles
280,128,15,2024-12-11,15:19:00,completed,46.38,5.44,2.00,49.82,1,Boston
281,153,19,2024-04-11,21:33:00,completed,43.00,6.94,11.95,37.99,3,Seattle
282,251,23,2025-02-07,13:10:00,refunded,0.00,0.00,0.00,0.00,0,Austin
283,207,2,2023-08-22,13:46:00,refunded,0.00,0.00,0.00,0.00,0,New York
284,109,47,2023-01-23,19:32:00,completed,45.13,5.75,0.45,50.43,6,Los Angeles
285,131,50,2024-07-01,19:03:00,completed,21.55,3.04,10.03,14.56,1,Los Angeles
286,60,27,2024-03-30,16:07:00,completed,53.11,3.27,8.34,48.04,6,Miami
287,5,20,2024-03-06,20:06:00,completed,37.98,5.53,1.65,41.86,1,Seattle
288,262,47,2024-09-24,11:18:00,completed,25.86,3.49,2.40,26.95,3,Los Angeles
289,268,13,2024-01-02,21:26:00,completed,20.92,4.98,2.49,23.41,4,Boston
290,170,16,2023-01-03,10:42:00,completed,26.17,5.37,5.93,25.61,1,Seattle
291,262,5,2025-01-10,21:06:00,cancelled,0.00,0.00,0.00,0.00,0,New York
292,330,15,2024-04-12,14:16:00,completed,25.39,3.37,0.47,28.29,3,Boston
293,185,44,2023-11-17,16:47:00,completed,80.99,6.95,0.12,87.82,2,Atlanta
294,340,42,2023-06-24,15:22:00,cancelled,0.00,0.00,0.00,0.00,0,Atlanta
295,319,18,2025-06-18,21:05:00,completed,43.36,3.07,4.80,41.63,4,Seattle
296,140,25,2024-12-07,23:30:00,completed,66.01,6.48,1.36,71.13,6,Austin
297,31,11,2023-04-17,16:58:00,completed,77.37,5.89,2.18,81.08,4,Boston
298,184,40,2023-01-30,23:43:00,cancelled,0.00,0.00,0.00,0.00,0,Denver
299,67,31,2025-07-31,17:07:00,cancelled,0.00,0.00,0.00,0.00,0,San Francisco
300,226,3,2023-03-06,14:41:00,completed,70.14,5.89,9.21,66.82,5,New York
301,290,15,2024-11-16,23:21:00,completed,68.93,5.59,5.19,69.33,6,Boston
302,128,31,2023-12-21,20:43:00,completed,29.00,6.63,10.70,24.93,5,San Francisco
303,28,1,2024-10-20,12:32:00,cancelled,0.00,0.00,0.00,0.00,0,New York
304,254,11,2023-03-18,22:31:00,completed,42.49,3.89,6.08,40.30,5,Boston
305,330,25,2024-02-17,23:15:00,completed,50.87,5.37,1.06,55.18,4,Austin
306,229,21,2023-05-02,17:47:00,completed,25.60,4.56,6.69,23.47,1,Austin
307,47,39,2024-09-25,20:19:00,cancelled,0.00,0.00,0.00,0.00,0,Denver
308,288,14,2024-11-01,20:29:00,refunded,0.00,0.00,0.00,0.00,0,Boston
